Date_Year_regrowth,Percent_Hard_Coral_Cover,Date_Year_bleaching,Percent_Bleaching
1998,10.07,1998,75
1995,15.49,1998,75
2002,14.1,1998,75
1996,10.28,1998,75
2001,18.42,1998,75
1997,21.39,1998,75
1999,16.83,1998,75
1996,4.72,1998,75
1997,13.17,1998,75
2001,23.33,1998,75
1999,24.17,1998,75
1997,19.83,1998,75
1999,15,1998,75
2001,17.85,1998,75
1997,5.03,1998,75
1999,0,1998,75
2001,0,1998,75
1997,0.32,1998,75
1998,70.13,1998,75
2001,0,1998,75
1999,10.06,1998,75
1999,79.87,1998,75
1997,0.63,1998,75
2001,5.03,1998,75
1997,70.13,1998,75
2000,38.05,1998,75
1994,1.6,1998,75
1998,70.13,1998,75
1993,2.04,1998,75
2002,23.9,1998,75
1997,19.81,1998,75
1994,10.06,1998,75
2001,89.94,1998,75
1999,89.94,1998,75
2000,11.1,1998,75
1998,25.79,1998,75
2002,9.6,1998,75
1994,59.43,1998,75
1998,13.2,1998,75
2000,36.9,1998,75
2002,49.1,1998,75
1997,54.1,1998,75
2001,15.1,1998,75
1999,54,1998,75
1998,16.8,1998,75
2002,13.8,1998,75
1994,22.9,1998,75
2000,24.8,1998,75
1998,31.1,1998,75
2002,36.9,1998,75
1994,19,1998,75
2000,44,1998,75
1992,38.8,1998,75
2001,35.7,1998,75
1999,31.3,1998,75
1994,12.7,1998,75
1998,52.7,1998,75
2000,56.7,1998,75
1994,37.4,1998,75
1991,36.8,1998,75
1992,40.4,1998,75
1993,39,1998,75
1994,45.1,1998,75
1995,48.6,1998,75
1996,57.9,1998,75
1997,33,1998,75
1998,34.5,1998,75
1999,45.4,1998,75
2000,27.5,1998,75
2001,26.5,1998,75
2002,48.2,1998,75
2003,31.8,1998,75
2004,34,1998,75
2005,32.9,1998,75
2006,40.7,1998,75
2010,34.9,1998,75
2011,39.6,1998,75
2012,48.2,1998,75
2010,16.1,1998,75
2011,24.9,1998,75
2012,29.3,1998,75
2010,33.2,1998,75
2011,42.8,1998,75
2003,35.3,1998,75
2003,48.6,1998,75
2003,38,1998,75
2003,30.8,1998,75
2003,31.4,1998,75
2003,8.3,1998,75
2003,2.7,1998,75
2003,2.2,1998,75
2003,13,1998,75
2003,32.6,1998,75
1998,40.7,1998,75
1998,46.3,1998,75
1998,27.7,1998,75
1998,19.6,1998,75
1998,24.1,1998,75
1998,29,1998,75
1998,31.7,1998,75
1998,27.5,1998,75
1999,5.3,1998,75
2000,4.6,1998,75
1999,12.8,1998,75
2001,11,1998,75
1999,24.8,1998,75
1997,39.6,1998,75
1998,4.1,1998,75
1999,24.6,1998,75
1996,26.5,1998,75
2002,19.4,1998,75
2002,12.1,1998,75
2002,25.8,1998,75
2002,51.06,1998,75
2002,25.76,1998,75
2002,24.09,1998,75
2002,29.24,1998,75
2002,31.21,1998,75
2002,32.27,1998,75
2002,38.33,1998,75
2002,43.33,1998,75
2002,43.18,1998,75
2001,42.27,1998,75
