Latitude_Degrees_regrowth,Longitude_Degrees_regrowth,Habitat_Type_regrowth,Turbidity_regrowth,Unnamed: 4,Date_Year_regrowth,Percent_Hard_Coral_Cover_regrowth,Percent_Macroalgal_Cover_regrowth,ClimSST_regrowth,Temperature_Mean_regrowth,Temperature_Minimum_regrowth,Wispeed_regrowth,SSTA_regrowth,SSTA_DHW_regrowth,Latitude_Degrees_bleaching,Longitude_Degrees_bleaching,Turbidity_bleaching,Percent_Cover_bleaching,Date_Year_bleaching,Bleaching_Level,Percent_Bleaching,ClimSST_bleaching,Temperature_Kelvin_bleaching,Wispeed_bleaching,SSTA_bleaching,SSTA_DHW_bleaching,Regrowth_Rate,Resilience_Status
-19.19805556,146.815,Outer Reef Flat,0.22,,2016,,,,,,,,,18.381,-67.487,0.0299,,2005,,87.0,299.54,300.25,6.0,-0.22,0.0,0.0,Non-Resilient
-19.19805556,146.815,Outer Reef Flat,0.22,,2017,20.27,0.0,,,,,,,-27.1,-109.3,0.0219,,2000,,87.5,262.15,299.82,4.0,2.23,15.46,12.236987818383183,Non-Resilient
-19.19805556,146.815,Outer Reef Flat,0.22,,2018,,,,,,,,,17.902,-76.846,0.0834,,2005,,87.5,300.94,302.63,9.0,0.68,3.86,0.0,Non-Resilient
-19.18863889,146.8350278,Outer Reef Flat,0.22,,2006,3.46,3.87,,,,,,,26.5,128.0,0.0414,,1986,,87.5,262.15,297.94,5.0,-1.38,0.4,-82.93043907252097,Non-Resilient
-19.18863889,146.8350278,Outer Reef Flat,0.22,,2007,,,,,,,,,19.8805,-87.412,0.0401,,2006,,87.5,301.35,301.16,4.0,0.47,0.0,0.0,Non-Resilient
-19.18863889,146.8350278,Outer Reef Flat,0.22,,2008,3.77,30.97,,,,,,,19.8805,-87.412,0.0401,,2006,,87.5,301.35,301.16,4.0,0.47,0.0,8.959537572254339,Non-Resilient
-19.18863889,146.8350278,Outer Reef Flat,0.22,,2009,,,,,,,,,19.88,-87.412,0.0401,,2006,,87.5,301.35,301.16,4.0,0.47,0.0,0.0,Non-Resilient
-19.18863889,146.8350278,Outer Reef Flat,0.22,,2010,3.46,14.84,,,,,,,19.88,-87.412,0.0401,,2006,,87.5,301.35,301.16,4.0,0.47,0.0,-8.222811671087538,Non-Resilient
-19.18863889,146.8350278,Outer Reef Flat,0.22,,2012,,,,,,,,,17.761,-64.699,0.0386,,2005,,87.5,300.25,301.82,9.0,0.46,13.57,0.0,Non-Resilient
-19.18863889,146.8350278,Outer Reef Flat,0.22,,2013,3.46,9.03,,,,,,,18.281,-64.946,0.0351,,2005,,87.5,301.22,301.45,6.0,-0.41,12.49,0.0,Non-Resilient
-19.18863889,146.8350278,Outer Reef Flat,0.22,,2014,,,,,,,,,15.125,-61.221,0.0334,,2005,,87.8,300.36,301.26,7.0,-0.09,7.23,0.0,Non-Resilient
-19.18863889,146.8350278,Outer Reef Flat,0.22,,2015,4.4,0.0,,,,,,,11.259,-60.725,0.0604,,2005,,87.9,300.22,300.99,6.0,-0.32,3.08,27.16763005780347,Non-Resilient
